Based on the information in this pastebin by ppltoast: https://pastebin.com/GmRtkBbh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Course ID,Source Entrance ID,Source Floor ID,Source Desc.,Dest Course ID,Dest. Entrance ID,Dest Floor ID,Dest Desc,Notes,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x0,0x0,SW Sea - Mercay Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x1,0x0,SW Sea - Molida Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x2,0x0,SW Sea - Mercay Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x3,0x0,SW Sea - Isle of Ember Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x4,0x0,SW Sea - Cannon Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x5,0x0,SW Sea - Spirit Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x0,0x1,NW Sea - Isle of Gust Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x1,0x1,NW Sea - Isle of Gust Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x2,0x1,NW Sea - Isle of Gust Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x3,0x1,NW Sea - Bannan Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x4,0x1,NW Sea - Zauz's Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x5,0x1,NW Sea - Ghost Ship Exit,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x6,0x1,unknown?,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x7,0x1,NW Sea - Unknown Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x0,0x2,SE Sea - Isle of Frost Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x1,0x2,SE Sea - Isle of Frost Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x2,0x2,SE Sea - Goron Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x3,0x2,SE Sea - Isle of Frost Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x4,0x2,SE Sea - Harrow Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x5,0x2,SE Sea - Dee Ess Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x0,0x3,NE Sea - Isle of the Dead Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x1,0x3,NE Sea - Isle of the Dead Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x2,0x3,NE Sea - Isle of Ruins Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Sea""",0x3,0x3,NE Sea - Maze Island Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Salvator""",,,Salvator's Cannon Minigame,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Fishing""",,,Fishing Minigame,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Salvage Arm""",,,Salvage Arm Minigame,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Linebeck""",,,Inside Linebeck's Ship,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Beedle""",,,Beedle Ship,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Smiles Ship""",,,Man of Smiles' Ship,,,,,,,,,,,,,,,,,,,,,,
,,,,"""PoRL""",,,Prince of Red Lions Ship,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Wayfare""",,,S.S. Wayfarer Ship,,,,,,,,,,,,,,,,,,,,,,
,,,,"""hoho""",,,Old Man Hoho Ship,,,,,,,,,,,,,,,,,,,,,,
,,,,"""nyave""",,,Nyave's Ship,,,,,,,,,,,,,,,,,,,,,,
,,,,"""Mercay""",0x0,0x0,SW Mercay Island - Beach Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x1,0x0,SW Mercay Island - Beach Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x2,0x0,SW Mercay Island - Outside Oshus' House,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x3,0x0,SW Mercay Island - Outside Cucco House,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x4,0x0,SW Mercay Island - Outside Sword Cave,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x0,0x1,NW Mercay Island - Mountain Passage Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x1,0x1,NW Mercay Island - Mountain Passage Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x2,0x1,NW Mercay Island - Temple of the Ocean King Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x3,0x1,NW Mercay Island - Cracked Wall Cave Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x0,0x2,NE Mercay Island - Cracked Wall Cave Exit,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x1,0x2,NE Mercay Island - Cracked Wall Cave Exit,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x2,0x2,NE Mercay Island - Hidden Cave Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x3,0x2,NE Mercay Island - Hidden Cave Exit,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x4,0x2,NE Mercay Island - In front of Freedle (used after wireless trade?),,,,,,,,,,,,,,,,,,,,,,
,,,,,0x0,0x3,SE Mercay Mountain Passage Exit,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x1,0x3,SE Mercay Mountain Passage Exit,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x2,0x3,SE Mercay Ship Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x3,0x3,SE Mercay Cafe Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x4,0x3,SE Mercay Shipyard Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x5,0x3,SE Mercay Ojibe's House Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x6,0x3,SE Mercay Fortune Teller's House Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x7,0x3,SE Mercay Shop Entrance,,,,,,,,,,,,,,,,,,,,,,
,,,,,0x8,0x3,SE Mercay Ship Entrance (possible CS),,,,,,,,,,,,,,,,,,,,,,
,,,,,,0xA,Mercay Island Oshus's House Interior,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0xB,Mercay Island Cucco Guys House Interior,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0xC,Mercay Island Milk Bar Interior,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0xD,Mercay Island Shipyard Interior,,,,,,,,,,,,,,,,,,,,,,
