Room,"Map & Room Identification",Actor,"Actor ID"
isle_pluck\map00,"Molida Island - Main Area",,OKOK
isle_pluck\map00,"Molida Island - Main Area",,DLCC
isle_pluck\map00,"Molida Island - Main Area",,LMMC
isle_pluck\map00,"Molida Island - Main Area",,2BNL
isle_pluck\map00,"Molida Island - Main Area",,FIWC
isle_pluck\map00,"Molida Island - Main Area",,SCNA
isle_pluck\map00,"Molida Island - Main Area",,SMMC
isle_pluck\map00,"Molida Island - Main Area",,RACS
isle_pluck\map00,"Molida Island - Main Area",,AMCN
isle_pluck\map00,"Molida Island - Main Area",,NOWS
isle_pluck\map00,"Molida Island - Main Area",,GTGD
isle_pluck\map00,"Molida Island - Main Area",,RAVE
isle_pluck\map00,"Molida Island - Main Area",,AGSM
isle_pluck\map00,"Molida Island - Main Area",,TSOP
isle_small3\map00,"Uncharted Island - Main Area",,SCNA
,,,2BNL
,,,AMCN
,,,AGSM
,,,GTGD
,,,WORC
,,,NLBP
,,,CUHC
